pdbTM,best_tm_score,best_bb_rmsd,radius_of_gyration,design_name,pdb_file,non_coil_percent,coil_percent,helix_percent,strand_percent
0.483,0.270708113,14.50535626,1.511232984,n_100_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_100_id_0/n_100_id_0.pdb,0.34,0.66,0.3,0.04
0.662,0.245212819,13.98329801,1.348659159,n_100_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_100_id_1/n_100_id_1.pdb,0.72,0.28,0.36,0.36
0.698,0.2844422,13.23617024,1.238963624,n_100_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_100_id_2/n_100_id_2.pdb,0.72,0.28,0.72,0
0.632,0.282918778,14.67068345,1.741826671,n_100_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_100_id_3/n_100_id_3.pdb,0.33,0.67,0.33,0
0.644,0.285126085,17.56180162,2.050957698,n_100_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_100_id_4/n_100_id_4.pdb,0.75,0.25,0.75,0
0.426,0.232814108,15.2546766,1.399506788,n_100_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_100_id_5/n_100_id_5.pdb,0.44,0.56,0.22,0.22
0.384,0.229708193,14.88133061,1.834706082,n_100_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_100_id_6/n_100_id_6.pdb,0.32,0.68,0.2,0.12
0.576,0.278817668,15.35935464,1.508830462,n_100_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_100_id_7/n_100_id_7.pdb,0.62,0.38,0.57,0.05
0.881,0.267243794,16.21934718,1.609316689,n_100_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_100_id_8/n_100_id_8.pdb,0.68,0.32,0.68,0
0.505,0.199373717,18.93467546,1.925243463,n_100_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_vf/n_100_id_9/n_100_id_9.pdb,0.34,0.66,0,0.34
