pdbTM,best_tm_score,best_bb_rmsd,radius_of_gyration,design_name,pdb_file,non_coil_percent,coil_percent,helix_percent,strand_percent
0.634,0.283488455,15.20830277,1.395788388,n_100_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_100_id_0/n_100_id_0.pdb,0.76,0.24,0.76,0
0.672,0.265111784,11.74927348,1.258025698,n_100_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_100_id_1/n_100_id_1.pdb,0.75,0.25,0.54,0.21
0.563,0.309623147,11.75171799,1.305441439,n_100_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_100_id_2/n_100_id_2.pdb,0.66,0.34,0.54,0.12
0.848,0.328244199,16.0798254,1.488817918,n_100_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_100_id_3/n_100_id_3.pdb,0.93,0.07,0.93,0
0.663,0.269852263,13.19315044,1.269024814,n_100_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_100_id_4/n_100_id_4.pdb,0.73,0.27,0.73,0
0.892,0.298113443,10.20925322,1.237314801,n_100_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_100_id_5/n_100_id_5.pdb,0.83,0.17,0.83,0
0.815,0.315685977,13.82656115,1.326676701,n_100_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_100_id_6/n_100_id_6.pdb,0.85,0.15,0.85,0
0.669,0.351105046,12.57758892,1.322046255,n_100_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_100_id_7/n_100_id_7.pdb,0.87,0.13,0.87,0
0.65,0.292167544,13.32527355,1.566377065,n_100_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_100_id_8/n_100_id_8.pdb,0.91,0.09,0.91,0
0.667,0.250601047,12.60717978,1.335747286,n_100_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_100_id_9/n_100_id_9.pdb,0.7,0.3,0.51,0.19
0.656,0.28342014,11.50837712,1.265564488,n_101_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_101_id_0/n_101_id_0.pdb,0.851485149,0.148514851,0.851485149,0
0.837,0.266686562,11.53024198,1.29410167,n_101_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_101_id_1/n_101_id_1.pdb,0.603960396,0.396039604,0.554455446,0.04950495
0.718,0.260658702,11.93015632,1.285213699,n_101_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_101_id_2/n_101_id_2.pdb,0.881188119,0.118811881,0.881188119,0
0.746,0.240086495,11.57690468,1.267581879,n_101_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_101_id_3/n_101_id_3.pdb,0.683168317,0.316831683,0.405940594,0.277227723
0.858,0.274128566,12.00488087,1.418571822,n_101_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_101_id_4/n_101_id_4.pdb,0.831683168,0.168316832,0.831683168,0
0.695,0.268684518,11.59648011,1.325776773,n_101_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_101_id_5/n_101_id_5.pdb,0.841584158,0.158415842,0.841584158,0
0.881,0.256132955,11.11717833,1.302957228,n_101_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_101_id_6/n_101_id_6.pdb,0.930693069,0.069306931,0.930693069,0
0.558,0.262451918,11.05895567,1.349545592,n_101_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_101_id_7/n_101_id_7.pdb,0.613861386,0.386138614,0.574257426,0.03960396
0.738,0.289635678,12.34570406,1.25661393,n_101_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_101_id_8/n_101_id_8.pdb,0.683168317,0.316831683,0.366336634,0.316831683
0.849,0.263167536,12.32268016,1.270754436,n_101_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_101_id_9/n_101_id_9.pdb,0.881188119,0.118811881,0.881188119,0
0.716,0.222358575,11.77825541,1.230614181,n_102_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_102_id_0/n_102_id_0.pdb,0.666666667,0.333333333,0.480392157,0.18627451
0.544,0.286132323,12.73299812,1.272959655,n_102_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_102_id_1/n_102_id_1.pdb,0.588235294,0.411764706,0.37254902,0.215686275
0.871,0.303219478,10.68482373,1.395383478,n_102_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_102_id_2/n_102_id_2.pdb,0.892156863,0.107843137,0.892156863,0
0.785,0.263863591,12.00078542,1.234964678,n_102_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_102_id_3/n_102_id_3.pdb,0.862745098,0.137254902,0.862745098,0
0.619,0.283621897,13.09529667,1.281176616,n_102_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_102_id_4/n_102_id_4.pdb,0.852941176,0.147058824,0.852941176,0
0.608,0.271934665,12.40605821,1.310182972,n_102_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_102_id_5/n_102_id_5.pdb,0.784313725,0.215686275,0.784313725,0
0.6,0.246294401,11.84090332,1.362949734,n_102_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_102_id_6/n_102_id_6.pdb,0.68627451,0.31372549,0.549019608,0.137254902
0.55,0.291211404,11.75622365,1.26634775,n_102_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_102_id_7/n_102_id_7.pdb,0.774509804,0.225490196,0.774509804,0
0.69,0.291890992,12.10054882,1.280762809,n_102_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_102_id_8/n_102_id_8.pdb,0.803921569,0.196078431,0.803921569,0
0.595,0.251868531,14.00583495,1.336842145,n_102_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_102_id_9/n_102_id_9.pdb,0.705882353,0.294117647,0.431372549,0.274509804
0.746,0.280453631,11.42486678,1.441902643,n_103_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_103_id_0/n_103_id_0.pdb,0.854368932,0.145631068,0.854368932,0
0.866,0.278100547,10.47912834,1.360719367,n_103_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_103_id_1/n_103_id_1.pdb,0.844660194,0.155339806,0.844660194,0
0.546,0.262520718,13.29598848,1.321045192,n_103_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_103_id_2/n_103_id_2.pdb,0.660194175,0.339805825,0.40776699,0.252427184
0.941,0.26444484,12.88156851,1.353722287,n_103_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_103_id_3/n_103_id_3.pdb,0.893203883,0.106796117,0.893203883,0
0.84,0.310212345,11.35226253,1.261271319,n_103_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_103_id_4/n_103_id_4.pdb,0.776699029,0.223300971,0.776699029,0
0.751,0.27941631,13.60464163,1.341875169,n_103_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise045/n_103_id_5/n_103_id_5.pdb,0.883495146,0.116504854,0.883495146,0
